1 2 3
|1   |1 |6.205 |
|----|--|------|
|2   |4 |3.623 |
|----|--|------|
|3   |4 |6.086 |
|----|--|------|
|4   |4 |3.344 |
|----|--|------|
|5   |4 |3.322 |
|----|--|------|
|6   |1 |3.738 |
|----|--|------|
|7   |4 |6.673 |
|----|--|------|
|8   |1 |5.333 |
|----|--|------|
|9   |1 |3.738 |
|----|--|------|
|10  |1 |3.738 |
|----|--|------|
|11  |1 |5.640 |
|----|--|------|
|12  |1 |5.293 |
|----|--|------|
|13  |1 |4.665 |
|----|--|------|
|14  |1 |3.738 |
|----|--|------|
|15  |3 |2.524 |
|----|--|------|
|16  |4 |6.104 |
|----|--|------|
|17  |1 |3.660 |
|----|--|------|
|18  |1 |3.744 |
|----|--|------|
|19  |3 |5.088 |
|----|--|------|
|20  |4 |8.430 |
|----|--|------|
|21  |1 |3.738 |
|----|--|------|
|22  |4 |6.231 |
|----|--|------|
|23  |1 |3.648 |
|----|--|------|
|24  |3 |5.072 |
|----|--|------|
|25  |1 |3.738 |
|----|--|------|
|26  |1 |3.674 |
|----|--|------|
|27  |4 |4.712 |
|----|--|------|
|28  |4 |5.847 |
|----|--|------|
|29  |4 |3.518 |
|----|--|------|
|30  |4 |7.337 |
|----|--|------|
|31  |3 |7.392 |
|----|--|------|
|32  |4 |6.307 |
|----|--|------|
|33  |1 |3.738 |
|----|--|------|
|34  |1 |3.660 |
|----|--|------|
|35  |4 |4.623 |
|----|--|------|
|36  |4 |6.286 |
|----|--|------|
|37  |4 |5.293 |
|----|--|------|
|38  |4 |12.165|
|----|--|------|
|39  |4 |4.864 |
|----|--|------|
|40  |4 |6.611 |
|----|--|------|
|41  |4 |4.864 |
|----|--|------|
|42  |4 |2.752 |
|----|--|------|
|43  |1 |3.629 |
|----|--|------|
|44  |4 |9.585 |
|----|--|------|
|45  |1 |3.738 |
|----|--|------|
|46  |1 |3.643 |
|----|--|------|
|47  |1 |3.738 |
|----|--|------|
|48  |4 |4.983 |
|----|--|------|
|49  |3 |12.230|
|----|--|------|
|50  |4 |7.199 |
|----|--|------|
|51  |4 |8.893 |
|----|--|------|
