14、原则导向—服务指南清晰、界面结构合理,14、图书馆移动信息平台上发布的知识资源全面丰富、更新及时,14、图书馆移动信息平台上发布的知识资源获取便捷,14、我习惯使用图书馆移动信息平台获取知识资源内容,15、地位导向—我会参加线上知识讲座、网络课程等,15、图书馆员能够及时回复我的线上咨询,15、我通常会对图书馆移动信息平台上发布的知识内容进行评论和点赞,15、我喜欢对图书馆移动信息平台的知识资源和服务进行转发和分享，与他人互动交流,16、行为导向—我熟悉图书馆移动信息平台微知识服务的各种功能,16、我可以通过多种设备和渠道利用知识资源和服务,16、我喜欢参加图书馆的在线抽奖、赠品等激励活动,16、零碎时间我会利用图书馆移动信息平台上发布的知识资源,17、查寻行为—我喜欢自由随意地浏览图书馆移动信息平台上发布的知识资源,17、我喜欢跟踪浏览某些主题的知识资源,17、我会主动搜索自己所需要的知识内容,17、我一般是看到推送通知才会点进去看,18、选择行为—我喜欢选择与时俱进、简单易用的知识内容,18、知识资源的正确性、适用性对我的体验影响较大,18、我喜欢可以免费获取、访问便捷的知识资源,18、获取到符合要求的资源后，我会继续查看更多相关联的知识资源,18、获取到符合要求的资源后，我会把他们下载下来，以备后用,19、交流行为—我喜欢图书馆的推荐、定制、推送服务,19、我喜欢集信息发布、组织与传递多种功能、交流畅通的平台,19、如果有问题，我会在线向馆员寻求帮助,19、我喜欢利用多种方式（如一对一、群、社区等）来进行交流分享,19、我喜欢参加网上用户调查，比如参与一些在线交流反馈活动,20、关于利用高校图书馆移动信息平台微知识服务的态度方面：—我认为移动信息平台发布的知识资源内容能够满足我的知识需求,20、我认为移动信息平台知识服务功能是丰富有用的,20、我认为移动信息平台知识服务平台是高效易用的,20、我认为移动信息平台知识服务界面设计简洁清晰,20、我对图书馆微知识服务的整体水平表示满意,20、如有需要，我会继续使用图书馆的微知识服务,20、我会向周围朋友推荐或宣传图书馆的微知识服务,21、感官体验（指在使用图书馆微知识服务过程中视觉、听觉、触觉等感官产生的综合体验与利用需求）,22、信息利用（指在使用图书馆微知识服务中为解决某个问题或实现某一目标而对知识资源本身和知识服务提供的需求）,23、技术体验（指对图书馆微知识服务平台所使用的服务技术和信息表现形式方面的需求）,24、情感交互（指在使用图书馆微知识服务过程中产生的情感体验，主要体现在服务方式的人机交互和与他人的交流共享两个方面的需求）,25、自我实现（指在使用图书馆微知识服务中对自我意愿、感受、价值实现方面的评价和需求）
5,5,5,5,4,4,5,5,4,4,3,4,4,4,5,5,5,5,6,5,5,5,5,4,4,3,6,6,6,6,6,6,6,10,10,10,10,10
5,4,5,4,4,3,3,4,4,4,4,4,5,3,4,5,5,5,5,4,4,4,5,3,4,5,4,4,4,5,4,4,4,8,8,7,7,7
5,4,5,5,4,3,1,4,3,5,4,5,5,4,5,2,4,5,5,4,5,5,5,3,3,4,4,5,5,4,5,5,5,6,8,8,5,7
3,3,4,4,4,3,3,3,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,7,7,7,7,7
4,4,4,4,4,4,4,4,4,5,4,3,5,3,4,4,3,4,5,3,4,4,4,4,4,4,4,4,3,4,4,4,3,8,8,7,7,8
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10
3,1,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,8,7,7
6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10
6,6,6,6,4,6,6,6,3,4,6,3,6,6,6,3,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10
5,5,5,4,5,5,4,5,4,5,4,5,5,6,6,5,5,5,6,5,6,5,6,6,5,6,5,4,5,4,5,4,6,8,7,9,8,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,8,8,8
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6
5,5,5,5,3,5,3,3,4,5,2,4,5,4,5,3,5,3,5,6,6,4,4,3,2,3,4,4,4,4,4,5,4,7,6,6,8,8
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8
6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10
5,5,5,4,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5
1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10
2,3,4,2,4,3,4,4,3,4,3,3,2,4,4,2,4,4,4,4,3,3,4,4,4,4,2,4,3,2,4,4,3,8,10,8,7,7
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,9,9,8
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,9,8
3,4,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,5,5,5,4,3,4,4,4,3,4,4,4,4,4,4,3,7,5,6,6,8
6,6,6,6,3,2,2,3,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,5,5,5,8,8,8,9,7
4,5,5,4,3,4,3,2,3,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,8,8,8,8,7
4,4,4,2,2,2,2,2,2,3,3,3,3,4,4,5,4,4,4,4,4,3,4,4,4,4,3,5,5,4,5,5,3,9,10,10,9,10
6,4,5,4,4,2,1,2,4,4,1,4,4,4,4,4,4,3,4,3,3,3,4,1,6,4,5,4,4,4,4,4,3,7,7,6,4,6
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,6,6,7,7
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,10,10,10,10
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,8,8,8,8
3,3,3,3,4,3,3,3,3,3,3,3,5,4,5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,7,7,7,7
5,5,5,5,3,4,3,2,3,3,2,2,4,5,4,4,5,5,5,3,5,5,5,3,2,3,5,5,5,5,5,5,5,8,9,9,7,9
5,5,5,5,3,3,3,3,4,4,3,4,4,4,4,2,5,5,5,5,4,3,3,4,2,3,5,5,5,5,5,5,5,8,8,8,8,9
4,5,5,3,3,2,1,0,3,3,0,3,4,6,5,0,5,6,6,6,3,2,3,6,0,2,4,4,3,2,4,5,3,10,10,6,3,4
5,5,5,5,5,4,3,4,4,5,4,4,5,4,5,4,4,5,4,5,4,5,4,3,5,5,5,5,4,5,5,4,5,8,7,8,9,8
1,5,4,4,4,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,9,6,6,6,5
4,4,4,4,4,4,4,3,4,5,3,3,5,3,5,3,5,5,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,10
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,7,7,7,8
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,9,10,10,10
5,3,4,4,2,3,1,3,2,2,2,2,2,2,4,2,4,4,6,2,3,4,5,5,2,2,2,4,4,4,4,3,2,10,10,7,10,10
